trade_id,symbol,entry_time,direction,option_type,entry_fut_px,entry_rsi,strike,entry_opt_px,init_sl_dist,dyn_threshold,st_flip_exit,st_flip_fut_pnl,st_flip_opt_pnl,st_flip_bars,bos_exit,bos_fut_pnl,bos_opt_pnl,bos_bars,range_exit,range_fut_pnl,range_opt_pnl,range_bars,st20_exit,st20_fut_pnl,st20_opt_pnl,st20_bars,st30_exit,st30_fut_pnl,st30_opt_pnl,st30_bars,momentum_v1_exit,momentum_v1_fut_pnl,momentum_v1_opt_pnl,momentum_v1_bars,rsi_exhaust_exit,rsi_exhaust_fut_pnl,rsi_exhaust_opt_pnl,rsi_exhaust_bars,swing_bos_exit,swing_bos_fut_pnl,swing_bos_opt_pnl,swing_bos_bars,tiered_exit,tiered_fut_pnl,tiered_opt_pnl,tiered_bars
30,BANKNIFTY26APRFUT,2026-03-02 09:18,SHORT,PE,60750.0,12.03,55900,553.69,135.93,67.97,2026-03-02 09:33,-137.4,-22.17,5,2026-03-02 09:30,-134.4,-21.67,4,2026-03-02 09:33,-137.4,-22.17,5,2026-03-02 09:30,-134.4,-21.67,4,2026-03-02 09:30,-134.4,-21.67,4,2026-03-02 09:33,-137.4,-22.17,5,2026-03-02 09:33,-137.4,-22.17,5,2026-03-02 09:33,-137.4,-22.17,5,2026-03-02 09:33,-137.4,-22.17,5
31,BANKNIFTY26APRFUT,2026-03-02 12:18,SHORT,PE,60456.2,32.25,55700,562.94,85.33,42.66,2026-03-02 12:27,-71.0,-11.77,3,2026-03-02 12:27,-71.0,-11.77,3,2026-03-02 12:27,-71.0,-11.77,3,2026-03-02 12:27,-71.0,-11.77,3,2026-03-02 12:27,-71.0,-11.77,3,2026-03-02 12:27,-71.0,-11.77,3,2026-03-02 12:27,-71.0,-11.77,3,2026-03-02 12:27,-71.0,-11.77,3,2026-03-02 12:27,-71.0,-11.77,3
32,BANKNIFTY26APRFUT,2026-03-02 13:33,SHORT,PE,60304.0,23.99,55600,568.66,83.92,41.96,2026-03-02 14:06,-83.4,-14.11,11,2026-03-02 14:06,-83.4,-14.11,11,2026-03-02 13:54,87.0,14.61,7,2026-03-02 14:06,-83.4,-14.11,11,2026-03-02 14:06,-83.4,-14.11,11,2026-03-02 14:06,-83.4,-14.11,11,2026-03-02 14:06,-83.4,-14.11,11,2026-03-02 14:06,-83.4,-14.11,11,2026-03-02 14:06,-83.4,-14.11,11
33,BANKNIFTY26APRFUT,2026-03-04 09:18,SHORT,PE,59580.4,15.74,55000,554.78,489.01,244.5,2026-03-04 11:03,220.4,37.34,35,2026-03-04 09:39,67.6,11.32,7,2026-03-04 09:21,-74.2,-12.4,1,2026-03-04 11:03,220.4,37.34,35,2026-03-04 10:15,137.2,23.07,19,2026-03-04 09:45,100.4,16.92,9,2026-03-04 11:03,220.4,37.34,35,2026-03-04 11:03,220.4,37.34,35,2026-03-04 09:45,100.4,16.92,9
34,BANKNIFTY26APRFUT,2026-03-05 15:00,LONG,CE,59976.0,76.59,60000,2628.28,241.95,120.98,2026-03-05 15:12,-276.0,-151.74,4,2026-03-05 15:03,-152.4,-84.36,1,2026-03-05 15:12,-276.0,-151.74,4,2026-03-05 15:12,-276.0,-151.74,4,2026-03-05 15:12,-276.0,-151.74,4,2026-03-05 15:12,-276.0,-151.74,4,2026-03-05 15:12,-276.0,-151.74,4,2026-03-05 15:12,-276.0,-151.74,4,2026-03-05 15:12,-276.0,-151.74,4
35,BANKNIFTY26APRFUT,2026-03-06 12:30,SHORT,PE,58925.0,32.9,54600,564.95,148.62,74.31,2026-03-06 15:27,513.6,94.55,59,2026-03-06 12:45,-85.0,-14.84,5,2026-03-06 13:24,-95.0,-16.86,18,2026-03-06 12:51,-91.2,-15.95,7,2026-03-06 12:45,-85.0,-14.84,5,2026-03-06 12:48,-55.0,-9.7,6,2026-03-06 12:45,-85.0,-14.84,5,2026-03-06 15:27,513.6,94.55,59,2026-03-06 12:45,-85.0,-14.84,5
36,BANKNIFTY26APRFUT,2026-03-09 09:18,SHORT,PE,56270.2,5.14,52400,560.19,1014.08,507.04,2026-03-09 10:54,-79.8,-15.32,32,2026-03-09 09:33,77.0,14.22,5,2026-03-09 10:33,335.2,64.03,25,2026-03-09 10:54,-79.8,-15.32,32,2026-03-09 10:54,-79.8,-15.32,32,2026-03-09 09:54,190.2,35.68,12,2026-03-09 10:54,-79.8,-15.32,32,2026-03-09 10:54,-79.8,-15.32,32,2026-03-09 09:54,190.2,35.68,12
37,BANKNIFTY26APRFUT,2026-03-10 10:18,LONG,CE,57493.8,75.21,63100,567.52,297.77,148.88,2026-03-10 11:51,-44.0,-9.72,31,2026-03-10 10:24,-159.4,-30.95,2,2026-03-10 10:54,-57.6,-11.72,12,2026-03-10 10:57,-93.8,-18.77,13,2026-03-10 10:57,-93.8,-18.77,13,2026-03-10 11:00,-82.8,-16.68,14,2026-03-10 10:57,-93.8,-18.77,13,2026-03-10 11:51,-44.0,-9.72,31,2026-03-10 10:57,-93.8,-18.77,13
38,BANKNIFTY26APRFUT,2026-03-11 10:36,SHORT,PE,57100.0,31.24,53200,549.67,168.49,84.25,2026-03-11 12:33,276.2,51.34,39,2026-03-11 10:57,50.6,9.12,7,2026-03-11 11:15,127.8,23.41,13,2026-03-11 12:12,321.2,60.42,32,2026-03-11 11:00,15.6,2.65,8,2026-03-11 10:54,70.0,12.75,6,2026-03-11 12:06,348.8,65.99,30,2026-03-11 12:33,276.2,51.34,39,2026-03-11 10:54,70.0,12.75,6
39,BANKNIFTY26APRFUT,2026-03-11 13:15,SHORT,PE,56576.2,34.76,52800,561.68,136.91,68.45,2026-03-11 13:30,-83.8,-15.63,5,2026-03-11 13:24,-23.8,-4.51,3,2026-03-11 13:21,16.2,2.99,2,2026-03-11 13:27,-62.6,-11.71,4,2026-03-11 13:27,-62.6,-11.71,4,2026-03-11 13:30,-83.8,-15.63,5,2026-03-11 13:24,-23.8,-4.51,3,2026-03-11 13:30,-83.8,-15.63,5,2026-03-11 13:24,-23.8,-4.51,3
